counselor	cố vấn
witness	nhân chứng
chapter	chương
fellow	đồng bào
divorce	ly hôn
owe	nợ
pipe	ống
athletic	Khỏe mạnh
slight	nhẹ
math	môn Toán
shade	bóng râm
tail	đuôi
sustain	duy trì
mount	gắn kết
obligation	nghĩa vụ
angle	góc
palm	lòng bàn tay
differ	khác nhau
custom	tập quán
store	cửa hàng
economist	nhà kinh tế học
fifteen	mười lăm
soup	Súp
celebration	lễ kỷ niệm
efficient	hiệu quả
damage	hư hại
composition	thành phần
satisfy	làm vui lòng
pile	Đóng cọc
briefly	ngắn gọn
carbon	carbon
closer	gần hơn
consume	tiêu dùng
scheme	kế hoạch
crack	bẻ khóa
frequency	tần số
tobacco	thuốc lá
survivor	người sống sót
besides	ngoài ra
in	trong
psychologist	nhà tâm lý học
wealthy	giàu có
galaxy	Thiên hà
given	được
fund	quỹ
ski	trượt tuyết
limitation	giới hạn
OK	được
trace	dấu vết
appointment	cuộc hẹn
preference	sở thích
meter	mét
explosion	nổ
arrest	bắt giữ
publicly	công khai
incredible	đáng kinh ngạc
fighter	đấu sĩ
rapid	nhanh
admission	nhận vào
hunter	thợ săn
educate	giáo dục
painful	đau đớn
friendship	hữu nghị
aide	trợ lý
infant	trẻ sơ sinh
calculate	tính toán
fifty	năm mươi
rid	thoát khỏi
porch	hiên nhà
tendency	khuynh hướng
uniform	đồng phục
formation	sự hình thành
scholarship	học bổng
reservation	đặt phòng
efficiency	hiệu quả
waste	chất thải
qualify	đủ tiêu chuẩn
mall	trung tâm mua sắm
derive	lấy được
scandal	vụ bê bối
PC	PC
helpful	Hữu ích
impress	gây ấn tượng
heel	gót chân
resemble	giống
privacy	riêng tư
fabric	vải
surprise	sự ngạc nhiên
contest	Cuộc thi
proportion	tỉ lệ
guideline	hướng dẫn
rifle	súng trường
maintenance	bảo trì
conviction	lòng tin chắc sự kết án phán quyết
trick	lừa
organic	hữu cơ
tent	lều
examination	kiểm tra
publisher	nhà xuất bản
strengthen	củng cố
French	người Pháp
proposed	đề xuất
myth	huyền thoại
sophisticated	tinh vi
cow	bò
etc	vv
standing	đứng
asleep	ngủ
tennis	quần vợt
nerve	dây thần kinh
barrel	thùng
bombing	ném bom
membership	thành viên
ratio	tỉ lệ
menu	thực đơn
purchase	mua tựa vào bám vào
controversial	gây tranh cãi
desperate	tuyệt vọng
rate	tỷ lệ
lifestyle	lối sống
humor	hài hước
loud	to tiếng
glove	găng tay
suspect	nghi ngờ
sufficient	đủ
narrative	tường thuật
photographer	nhiếp ảnh gia
helicopter	máy bay trực thăng
Catholic	Công giáo
modest	khiêm tốn
provider	các nhà cung cấp
delay	sự chậm trễ
agricultural	nông nghiệp
explode	nổ tung
stroke	Cú đánh
scope	phạm vi
punishment	hình phạt
handful	ít
badly	tệ
horizon	đường chân trời
curious	Hiếu kỳ
downtown	trung tâm thành phố
girlfriend	bạn gái
prompt	nhắc nhở
request	yêu cầu
cholesterol	cholesterol
absorb	hấp thụ
adjustment	điều chỉnh
taxpayer	người nộp thuế
eager	hăng hái
principal	hiệu trưởng
detailed	chi tiết
motivation	động lực
assignment	nhiệm vụ
restriction	sự hạn chế
across	băng qua
